ds,cpu,memory,machines_reporting
2018-01-03 06:40:00,67.41107142857143,93.4992857142857,20
2018-01-03 06:45:00,64.25068027210884,91.89455782312926,21
2018-01-03 06:50:00,55.590476190476195,89.2095238095238,21
2018-01-03 06:55:00,59.32556390977444,91.30714285714286,19
2018-01-03 07:00:00,58.69512471655329,89.73140589569161,21
2018-01-03 07:05:00,53.23061224489796,90.06768707482993,21
2018-01-03 07:10:00,53.9,89.77583333333332,20
2018-01-03 07:15:00,54.76190476190476,90.12222222222222,21
2018-01-03 07:20:00,49.688095238095244,88.71145124716553,21
2018-01-03 07:25:00,55.29297619047619,88.97369047619048,20
2018-01-03 07:30:00,55.18922902494331,90.14875283446712,21
2018-01-03 07:35:00,56.089342403628116,90.12290249433107,21
2018-01-03 07:40:00,52.48166666666667,88.01083333333334,20
2018-01-03 07:45:00,48.41230158730159,87.6120238095238,20
2018-01-03 07:50:00,54.78928571428571,89.18476190476191,20
2018-01-03 07:55:00,47.50833333333333,89.01107142857143,20
2018-01-03 08:00:00,63.09666666666667,90.68863095238096,20
2018-01-03 08:05:00,52.561564625850345,86.51836734693877,21
2018-01-03 08:10:00,48.739285714285714,85.82420634920635,21
2018-01-03 08:15:00,58.277499999999996,88.8275,20
2018-01-03 08:20:00,57.370000000000005,93.13083333333334,20
2018-01-03 08:25:00,54.96099773242631,87.39081632653061,21
2018-01-03 08:30:00,52.1921768707483,88.45436507936509,21
2018-01-03 08:35:00,53.91125000000001,88.27583333333334,20
2018-01-03 08:40:00,51.1702380952381,87.93531746031746,21
2018-01-03 08:45:00,47.037301587301585,87.2095238095238,21
2018-01-03 08:50:00,45.48571428571428,85.94603174603174,21
2018-01-03 08:55:00,46.931578947368415,87.16140350877193,19
2018-01-03 09:00:00,60.07165532879818,90.17528344671202,21
2018-01-03 09:05:00,60.79398809523809,91.22309523809523,20
2018-01-03 09:10:00,51.605119047619056,87.47511904761903,20
2018-01-03 09:15:00,54.046031746031744,85.88333333333333,21
2018-01-03 09:20:00,54.728750000000005,86.65041666666667,20
2018-01-03 09:25:00,57.60087719298246,88.7640350877193,19
2018-01-03 09:30:00,57.709523809523816,89.05317460317458,21
2018-01-03 09:35:00,46.92523809523809,85.48178571428572,20
2018-01-03 09:40:00,54.419614512471654,86.4814058956916,21
2018-01-03 09:45:00,44.037755102040805,86.29489795918369,21
2018-01-03 09:50:00,48.397619047619045,85.22380952380952,21
2018-01-03 09:55:00,55.51916666666666,88.5025,20
2018-01-03 10:00:00,60.39365079365081,91.69365079365079,21
2018-01-03 10:05:00,58.96083333333333,90.41940476190476,20
2018-01-03 10:10:00,55.13650793650794,88.89920634920637,21
2018-01-03 10:15:00,55.469841269841275,90.38492063492062,21
2018-01-03 10:20:00,55.36541950113377,90.15430839002268,21
2018-01-03 10:25:00,55.665000000000006,90.28833333333333,20
2018-01-03 10:30:00,53.8802380952381,90.83059523809524,20
2018-01-03 10:35:00,54.95,90.9,20
2018-01-03 10:40:00,53.21190476190476,90.55634920634921,21
2018-01-03 10:45:00,46.65976190476191,89.13059523809525,20
2018-01-03 10:50:00,51.06746031746032,90.77936507936508,21
2018-01-03 10:55:00,49.455263157894734,90.51666666666668,19
2018-01-03 11:00:00,58.14095238095238,92.26107142857143,20
2018-01-03 11:05:00,62.07834467120181,92.828231292517,21
2018-01-03 11:10:00,57.281632653061216,90.27891156462584,21
2018-01-03 11:15:00,50.945,88.73833333333333,20
2018-01-03 11:20:00,48.10416666666667,88.14333333333333,20
2018-01-03 11:25:00,45.06666666666666,88.08333333333333,21
2018-01-03 11:30:00,54.69761904761905,89.03174603174604,21
2018-01-03 11:35:00,44.44122807017544,88.91447368421053,19
2018-01-03 11:40:00,47.37071428571429,89.05952380952381,20
2018-01-03 11:45:00,45.8875,87.86666666666667,20
2018-01-03 11:50:00,48.742063492063494,88.47063492063492,21
2018-01-03 11:55:00,48.53458049886621,89.1109977324263,21
2018-01-03 12:00:00,51.62410192147034,90.4029239766082,19
2018-01-03 12:05:00,54.156349206349205,89.84761904761905,21
2018-01-03 12:10:00,43.814166666666665,88.81666666666668,20
2018-01-03 12:15:00,50.146031746031746,90.55714285714286,21
2018-01-03 12:20:00,50.49666666666667,91.88166666666666,20
2018-01-03 12:25:00,48.59649122807018,90.48922305764411,19
2018-01-03 12:30:00,45.586507936507935,88.29404761904763,21
2018-01-03 12:35:00,42.65833333333333,87.83125,20
2018-01-03 12:40:00,39.67619047619048,88.1452380952381,21
2018-01-03 12:45:00,57.0025,90.26166666666668,20
2018-01-03 12:50:00,40.110997732426306,89.81541950113377,21
2018-01-03 12:55:00,32.60392857142857,88.82976190476191,20
2018-01-03 13:00:00,36.30827664399093,89.63673469387756,21
2018-01-03 13:05:00,39.62337301587302,89.45595238095238,20
2018-01-03 13:10:00,41.55997732426304,89.1575963718821,21
2018-01-03 13:15:00,42.4075,88.73583333333333,20
2018-01-03 13:20:00,37.88730158730159,88.52063492063493,21
2018-01-03 13:25:00,41.61417233560091,89.55952380952382,21
2018-01-03 13:30:00,43.288888888888884,91.39591836734694,21
2018-01-03 13:35:00,49.475952380952386,90.46920634920636,20
2018-01-03 13:40:00,49.192403628117916,91.66383219954648,21
2018-01-03 13:45:00,44.228070175438596,88.86052631578947,19
2018-01-03 13:50:00,37.10873015873016,88.65396825396826,21
2018-01-03 13:55:00,41.66988095238096,89.95750000000001,20
2018-01-03 14:00:00,42.19464285714285,91.36095238095238,20
2018-01-03 14:05:00,38.21235827664399,88.97392290249434,21
2018-01-03 14:10:00,43.4225,90.51083333333334,20
2018-01-03 14:15:00,41.31230158730158,89.65873015873015,21
2018-01-03 14:20:00,40.01031746031746,88.6373015873016,21
2018-01-03 14:25:00,41.59183673469388,89.87981859410431,21
2018-01-03 14:30:00,45.76083333333333,89.53083333333333,20
2018-01-03 14:35:00,41.63157894736842,87.47456140350877,19
2018-01-03 14:40:00,40.90238095238095,87.68083333333334,20
2018-01-03 14:45:00,33.396491228070175,87.07280701754388,19
2018-01-03 14:50:00,35.67541666666666,86.78708333333334,20
2018-01-03 14:55:00,42.039153439153445,89.28095238095237,18
2018-01-03 15:00:00,44.952947845804985,90.82120181405897,21
2018-01-03 15:05:00,47.12178571428572,90.68095238095236,20
2018-01-03 15:10:00,51.95595238095238,90.9484126984127,21
2018-01-03 15:15:00,49.069880952380956,90.02583333333334,20
2018-01-03 15:20:00,51.42125,88.61916666666666,20
2018-01-03 15:25:00,30.860000000000003,85.84083333333334,20
2018-01-03 15:30:00,32.96321428571429,86.57880952380953,20
2018-01-03 15:35:00,34.3875,87.76583333333333,20
2018-01-03 15:40:00,39.75083333333333,87.50416666666665,20
2018-01-03 15:45:00,38.642857142857146,88.90793650793651,21
2018-01-03 15:50:00,37.54126984126984,88.3484126984127,21
2018-01-03 15:55:00,31.782500000000006,87.04666666666667,20
2018-01-03 16:00:00,37.900793650793645,87.60079365079366,21
2018-01-03 16:05:00,36.34327485380117,88.61666666666667,19
2018-01-03 16:10:00,35.180119047619044,88.84607142857143,20
2018-01-03 16:15:00,36.5227380952381,89.18928571428572,20
2018-01-03 16:20:00,33.507936507936506,89.25079365079365,21
2018-01-03 16:25:00,31.291228070175436,89.89736842105263,19
2018-01-03 16:30:00,32.88959899749373,89.55588972431077,19
2018-01-03 16:35:00,35.78888888888889,90.41507936507936,21
2018-01-03 16:40:00,36.47766439909297,91.03582766439911,21
2018-01-03 16:45:00,37.35231481481482,91.80601851851853,18
2018-01-03 16:50:00,38.8531746031746,91.65555555555557,21
2018-01-03 16:55:00,36.34988662131519,91.47097505668934,21
2018-01-03 17:00:00,40.626942355889724,93.52744360902255,19
2018-01-03 17:05:00,37.31201814058957,91.11179138321995,21
2018-01-03 17:10:00,44.53095238095238,91.17063492063491,21
2018-01-03 17:15:00,41.230714285714285,91.35464285714285,20
2018-01-03 17:20:00,40.76491228070175,91.77192982456141,19
2018-01-03 17:25:00,31.739455782312927,90.83333333333333,21
2018-01-03 17:30:00,29.995987654320988,89.47993827160494,18
2018-01-03 17:35:00,30.98613095238095,89.62190476190476,20
2018-01-03 17:40:00,31.771315192743767,89.84784580498865,21
2018-01-03 17:45:00,36.395535714285714,90.78190476190477,20
2018-01-03 17:50:00,34.925925925925924,92.04928193499622,21
2018-01-03 17:55:00,37.8531746031746,93.07460317460318,21
2018-01-03 18:00:00,35.71666666666667,93.46904761904763,21
2018-01-03 18:05:00,38.38242630385487,92.70204081632652,21
2018-01-03 18:10:00,33.10362811791383,91.31043083900225,21
2018-01-03 18:15:00,35.625,91.33458333333334,20
2018-01-03 18:20:00,31.34047619047619,91.68650793650794,21
2018-01-03 18:25:00,27.723690476190477,90.925,20
2018-01-03 18:30:00,29.002116402116403,92.08822751322751,18
2018-01-03 18:35:00,29.525510204081634,91.14931972789115,21
2018-01-03 18:40:00,28.12579365079365,91.45357142857144,21
2018-01-03 18:45:00,26.687037037037037,91.06997354497355,18
2018-01-03 18:50:00,28.873922902494336,91.5700680272109,21
2018-01-03 18:55:00,29.715079365079358,91.51746031746032,21
2018-01-03 19:00:00,37.55,93.52666666666667,20
2018-01-03 19:05:00,34.699999999999996,91.7297619047619,20
2018-01-03 19:10:00,36.46333333333333,89.83000000000001,20
2018-01-03 19:15:00,34.95916666666666,89.455,20
2018-01-03 19:20:00,32.801587301587304,89.47777777777777,21
2018-01-03 19:25:00,28.17097505668934,88.61995464852608,21
2018-01-03 19:30:00,30.450340136054425,89.57097505668935,21
2018-01-03 19:35:00,37.16678571428571,89.80452380952381,20
2018-01-03 19:40:00,32.59274376417234,89.03639455782313,21
2018-01-03 19:45:00,34.1025,89.63333333333333,20
2018-01-03 19:50:00,38.41111111111111,92.51122448979592,21
2018-01-03 19:55:00,35.561564625850345,92.50272108843537,21
2018-01-03 20:00:00,45.75147392290249,93.03616780045351,21
2018-01-03 20:05:00,37.193333333333335,91.74416666666667,20
2018-01-03 20:10:00,38.475,90.67666666666666,20
2018-01-03 20:15:00,42.5984126984127,92.00158730158729,21
2018-01-03 20:20:00,37.67063492063491,90.02777777777777,21
2018-01-03 20:25:00,34.092063492063495,90.37380952380953,21
2018-01-03 20:30:00,34.59920634920635,90.48174603174603,21
2018-01-03 20:35:00,29.683333333333334,89.37301587301587,21
2018-01-03 20:40:00,35.32666666666667,92.065,20
2018-01-03 20:45:00,33.72301587301587,91.48412698412697,21
2018-01-03 20:50:00,36.068333333333335,91.04166666666667,20
2018-01-03 20:55:00,30.755000000000003,91.05916666666667,20
2018-01-03 21:00:00,36.86666666666666,92.71587301587302,21
2018-01-03 21:05:00,37.48083900226757,91.77244897959183,21
2018-01-03 21:10:00,31.138888888888886,89.73412698412697,21
2018-01-03 21:15:00,39.210833333333326,91.34666666666666,20
2018-01-03 21:20:00,32.46349206349207,92.79828042328043,21
2018-01-03 21:25:00,27.018707482993197,90.88571428571429,21
2018-01-03 21:30:00,33.904761904761905,92.0252380952381,20
2018-01-03 21:35:00,37.866547619047616,92.72964285714286,20
2018-01-03 21:40:00,28.275438596491227,92.03245614035089,19
2018-01-03 21:45:00,29.02392857142857,92.65654761904761,20
2018-01-03 21:50:00,29.14505952380953,92.4870238095238,20
2018-01-03 21:55:00,29.069166666666668,93.05499999999999,20
2018-01-03 22:00:00,40.21666666666667,95.6875,20
2018-01-03 22:05:00,32.43125,92.94166666666666,20
2018-01-03 22:10:00,26.17111111111111,90.86861111111111,20
2018-01-03 22:15:00,26.565532879818594,91.8547619047619,21
2018-01-03 22:20:00,31.245238095238093,91.98650793650793,21
2018-01-03 22:25:00,27.53253968253968,91.35396825396825,21
2018-01-03 22:30:00,29.169047619047618,91.91825396825398,21
2018-01-03 22:35:00,26.64795918367347,91.82074829931973,21
2018-01-03 22:40:00,26.650793650793656,92.61666666666667,21
2018-01-03 22:45:00,24.807738095238093,92.55357142857142,20
2018-01-03 22:50:00,22.684126984126983,91.70079365079366,21
2018-01-03 22:55:00,25.104761904761908,92.13174603174602,21
2018-01-03 23:00:00,32.192499999999995,93.53999999999999,20
2018-01-03 23:05:00,35.47982456140351,95.41461988304093,19
2018-01-03 23:10:00,28.108392857142853,93.49755952380953,20
2018-01-03 23:15:00,30.686111111111114,92.81296296296296,18
2018-01-03 23:20:00,33.05334467120181,92.953231292517,21
2018-01-03 23:25:00,25.26693121693122,92.6015873015873,21
2018-01-03 23:30:00,27.03253968253968,92.7910052910053,21
2018-01-03 23:35:00,24.449166666666663,93.025,20
2018-01-03 23:40:00,22.517619047619046,93.48166666666667,20
2018-01-03 23:45:00,23.50630952380952,93.52785714285713,20
2018-01-03 23:50:00,24.9675,93.89874999999999,20
2018-01-03 23:55:00,23.649624060150373,94.50175438596492,19
2018-01-04 00:00:00,25.940555555555555,95.33888888888889,20
2018-01-04 00:05:00,34.82669172932331,95.17944862155389,19
2018-01-04 00:10:00,33.23730158730158,92.21031746031746,21
2018-01-04 00:15:00,34.63202380952381,91.16053571428571,20
2018-01-04 00:20:00,38.24297619047619,92.80702380952381,20
2018-01-04 00:25:00,46.64333333333333,94.48958333333334,20
2018-01-04 00:30:00,42.26303854875283,92.36428571428571,21
2018-01-04 00:35:00,30.87142857142857,88.11746031746031,21
